Efternavne, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
PLESNER	352
RYSGAARD	352
SØDERBERG	352
MERTZ	351
RISOM	351
GRANN	350
ILLUM	350
KRAFT	350
LINDQUIST	350
FRANTZEN	349
HUUS	349
KOUSGAARD	349
SOLBERG	349
BALLEGAARD	348
JONASSON	348
KLEIST	348
VO	348
KLARSKOV	347
BERNER	346
GLAD	346
KONGSGAARD	346
FREDENSBORG	345
KLINGENBERG	345
HASS	344
SPARRE	344
ARENTOFT	343
RAHIMI	343
RUBY	343
SCHELDE	343
TOUGAARD	343
TYCHSEN	343
GOSVIG	342
HAGEDORN	342
HANGAARD	342
KAUFMANN	342
PLUM	342
VOGT	342
WEDEL	342
BROHOLM	341
HEIDEMANN	341
TRUONG	341
WALLIN	341
FOGTMANN	340
FOLKMANN	339
KARIM	339
KYHL	339
LINNEMANN	339
SKOVMAND	339
KJELGAARD	338
KVISTGAARD	338
STENBERG	338
BJØRKLUND	337
FABRIN	337
HARTUNG	337
HESS	337
ABDULLAHI	336
ENGELHARDT	336
HOLMEN	336
JUNCKER	336
MONBERG	336
SEEBERG	336
THAARUP	336
TOFTEGAARD	336
ELIASSEN	335
GLEERUP	335
NOE	335
NYBY	335
BREINHOLT	334
BRINKMANN	334
GJELSTRUP	334
GROSEN	334
ISAGER	334
SKOVLUND	334
SVARRER	334
VASE	334
GODTFREDSEN	333
ASHRAF	332
BASODA	332
BROCK	332
KOLIND	332
KRUUSE	332
MARKVARDSEN	332
BØRRESEN	331
FRØKJÆR	331
JAHN	331
OTZEN	331
WESTPHAL	331
MATHISEN	330
PIND	330
SIGAARD	330
EVERS	329
LEVIN	329
SODE	329
KIBSGAARD	328
MIRZA	328
SVEJSTRUP	328
ADHIKARI	327
BADEN	327
GODSKESEN	327
GUDMUNDSSON	327
HØYBYE	326
RYDAHL	326
SCHLÜTER	326
SJØGREN	326
GREISEN	325
HEILMANN	325
LØGSTRUP	325
BOE	324
FAURHOLT	324
GAMBORG	324
KAPLAN	324
PLOUGMANN	324
SANDHOLDT	324
UDENGAARD	324
BIE	323
DANG	323
GADEBERG	323
MARIAGER	323
ROSENKVIST	323
FELDT	322
KALLESTRUP	322
AL-BADRI	321
COLDING	321
NGO	321
PRÆSTEGAARD	321
SPANGSBERG	321
VALLENTIN	321
AAMAND	320
BENDER	320
BORGSTRØM	320
HANNIBAL	320
HOLMSTRØM	320
NYKJÆR	320
PIIL	320
SCHYTTE	320
BROK	319
FAABORG	319
MAURITZEN	319
MÆRSK	319
MÅRTENSSON	319
PEITERSEN	319
POPA	319
THORN	319
BØGE	318
HAGELSKJÆR	318
LYCK	318
RICHARDT	318
SCHNOOR	318
STUHR	318
AAKJÆR	317
ALAM	317
ENGELUND	317
GULDMANN	317
STAUGAARD	317
BØJE	316
DINH	316
FLEISCHER	316
HEITMANN	316
MALM	316
ROTHMANN	316
BAGGESEN	315
FRAUSING	315
PALUDAN	315
UTH	315
EGEBJERG	314
KJEMS	314
LIE	314
MORELL	314
VEJE	314
BARRETT	313
BONNESEN	313
KHADKA	313
KJØLBY	313
LUNDHOLM	313
MAJGAARD	313
ROSENGREN	313
BACHE	312
BAHNSEN	312
DIETZ	312
HENTZE	312
MOE	312
BERGGREEN	311
BORRING	311
BRØCHNER	311
GYDESEN	311
HENRICHSEN	311
KARATAS	311
KÆR	311
LYSTER	311
RUBIN	311
RUDBECK	311
STÆRK	311
BACK	310
ERDEM	310
GRAAE	310
KOUSTRUP	310
LEVINSEN	310
LINNEBJERG	310
MELIN	310
PREHN	310
RØN	310
AASTRUP	309
GARDE	309
JUNG	309
KIERKEGAARD	309
KLINDT	309
SKJÆRBÆK	309
BRENDSTRUP	308
KIKKENBORG	308
LIPPERT	308
OPSTRUP	308
ROOS	308
THORNING	308
ARABACI	307
ASLAN	307
BAUMANN	307
ROSENQVIST	307
SIGSGAARD	307
